Job Name,Repo,Workflow Name,Branch,Cron schedule (JST),Status,End Date,PIC Team,Request Body
QA - PAM,qa-automate-apiqa,Parallelism_Testing_Launcher,master,30 21 * * 3,Enable,2026-03-07,CAG,"{
    ""prjName"": ""Env-QA-DAY-PAM-V2"",
    ""branchDetails"": ""master"",
    ""cucumberTags"": ""@stg and @onlineMiniapp and @post_payment_v2 and not @not-qa"",
    ""environment"": ""QA"",
    ""parallelExecutors"": ""4"",
    ""parallelContainers"": ""10"",
    ""slack_recipient"": """",
    ""channel"": ""CKZLL1PKL"",
    ""enable_webdriver"": ""false""
 }"
QA - PAM - RERUN,qa-automate-apiqa,Parallelism_Testing_Launcher,master,50 22 * * 1 ,Disable,2026-02-10,PAM,"{
    ""prjName"": ""Env-QA-DAY-PAM-RERUN"",
    ""branchDetails"": ""master"",
    ""cucumberTags"": ""@stg and @onlineMiniapp and not @post_payment_v2 and not @not-qa"",
    ""environment"": ""QA"",
    ""parallelExecutors"": ""4"",
    ""parallelContainers"": ""10"",
    ""slack_recipient"": """",
    ""channel"": """",
    ""enable_webdriver"": ""false"",
    ""rerun"":""true""
 }"
QA - PAM - RERUN,qa-automate-apiqa,Parallelism_Testing_Launcher,master,20 23 * * 1 ,Disable,2026-01-15,CAG,"{
    ""prjName"": ""Env-QA-DAY-PAM-V2-RERUN"",
    ""branchDetails"": ""master"",
    ""cucumberTags"": ""@stg and @onlineMiniapp and @post_payment_v2 and not @not-qa"",
    ""environment"": ""QA"",
    ""parallelExecutors"": ""4"",
    ""parallelContainers"": ""10"",
    ""slack_recipient"": """",
    ""channel"": """",
    ""enable_webdriver"": ""false"",
    ""rerun"":""true""
 }"
QA - PAM - RERUN,qa-automate-apiqa,Parallelism_Testing_Launcher,master,50 22 * * 2 ,Enable,2026-03-18,O2O,"{
    ""prjName"": ""Env-QA-DAY-PAM-RERUN"",
    ""branchDetails"": ""master"",
    ""cucumberTags"": ""@stg and @onlineMiniapp and not @post_payment_v2 and not @not-qa"",
    ""environment"": ""QA"",
    ""parallelExecutors"": ""4"",
    ""parallelContainers"": ""10"",
    ""slack_recipient"": """",
    ""channel"": ""CKZLL1PKL"",
    ""enable_webdriver"": ""false"",
    ""rerun"":""true""
 }"
QA - PAM - RERUN,qa-automate-apiqa,Parallelism_Testing_Launcher,master,20 23 * * 2 ,Enable,2026-01-15,PAM,"{
    ""prjName"": ""Env-QA-DAY-PAM-V2-RERUN"",
    ""branchDetails"": ""master"",
    ""cucumberTags"": ""@stg and @onlineMiniapp and @post_payment_v2 and not @not-qa"",
    ""environment"": ""QA"",
    ""parallelExecutors"": ""4"",
    ""parallelContainers"": ""10"",
    ""slack_recipient"": """",
    ""channel"": ""CKZLL1PKL"",
    ""enable_webdriver"": ""false"",
    ""rerun"":""true""
 }"
QA - PAM - RERUN,qa-automate-apiqa,Parallelism_Testing_Launcher,master,50 22 * * 3,Enable,2026-01-13,CAG,"{
    ""prjName"": ""Env-QA-DAY-PAM-RERUN"",
    ""branchDetails"": ""master"",
    ""cucumberTags"": ""@stg and @onlineMiniapp and not @post_payment_v2 and not @not-qa"",
    ""environment"": ""QA"",
    ""parallelExecutors"": ""4"",
    ""parallelContainers"": ""10"",
    ""slack_recipient"": """",
    ""channel"": ""CKZLL1PKL"",
    ""enable_webdriver"": ""false"",
    ""rerun"":""true""
 }"
QA - PAM - RERUN,qa-automate-apiqa,Parallelism_Testing_Launcher,master,20 23 * * 3,Enable,2026-01-15,O2O,"{
    ""prjName"": ""Env-QA-DAY-PAM-V2-RERUN"",
    ""branchDetails"": ""master"",
    ""cucumberTags"": ""@stg and @onlineMiniapp and @post_payment_v2 and not @not-qa"",
    ""environment"": ""QA"",
    ""parallelExecutors"": ""4"",
    ""parallelContainers"": ""10"",
    ""slack_recipient"": """",
    ""channel"": ""CKZLL1PKL"",
    ""enable_webdriver"": ""false"",
    ""rerun"":""true""
 }"
QA - PAM_BO,qa-automate-apiqa,Parallelism_Testing_Launcher,master,0 20 * * 1,Disable,2026-01-25,FSBP,"{
    ""prjName"": ""Env-QA-DAY-PAM-BO"",
    ""branchDetails"": ""master"",
    ""cucumberTags"": ""@sandbox and @onlineMiniapp and not @not-qa"",
    ""environment"": ""QA"",
    ""parallelExecutors"": ""4"",
    ""parallelContainers"": ""1"",
    ""slack_recipient"": """",
    ""channel"": """",
    ""enable_webdriver"": ""true""
 }"
QA - PAM_BO,qa-automate-apiqa,Parallelism_Testing_Launcher,master,0 20 * * 2 ,Enable,2026-02-09,QA Tech,"{
    ""prjName"": ""Env-QA-DAY-PAM-BO"",
    ""branchDetails"": ""master"",
    ""cucumberTags"": ""@sandbox and @onlineMiniapp and not @not-qa"",
    ""environment"": ""QA"",
    ""parallelExecutors"": ""4"",
    ""parallelContainers"": ""1"",
    ""slack_recipient"": """",
    ""channel"": ""CKZLL1PKL"",
    ""enable_webdriver"": ""true""
 }"
QA - PAM_BO,qa-automate-apiqa,Parallelism_Testing_Launcher,master,0 20 * * 3,Enable,2026-03-16,FSBP,"{
    ""prjName"": ""Env-QA-DAY-PAM-BO"",
    ""branchDetails"": ""master"",
    ""cucumberTags"": ""@sandbox and @onlineMiniapp and not @not-qa"",
    ""environment"": ""QA"",
    ""parallelExecutors"": ""4"",
    ""parallelContainers"": ""1"",
    ""slack_recipient"": """",
    ""channel"": ""CKZLL1PKL"",
    ""enable_webdriver"": ""true""
 }"
QA - PAM_BO - RERUN,qa-automate-apiqa,Parallelism_Testing_Launcher,master,0 21 * * 1,Disable,2026-01-14,CAG,"{
    ""prjName"": ""Env-QA-DAY-PAM-BO-RERUN"",
    ""branchDetails"": ""master"",
    ""cucumberTags"": ""@sandbox and @onlineMiniapp and not @not-qa"",
    ""environment"": ""QA"",
    ""parallelExecutors"": ""4"",
    ""parallelContainers"": ""1"",
    ""slack_recipient"": """",
    ""channel"": ""CKZLL1PKL"",
    ""enable_webdriver"": ""true"",
    ""rerun"":""true""
 }"
QA - PAM_BO - RERUN,qa-automate-apiqa,Parallelism_Testing_Launcher,master,0 21 * * 2 ,Enable,2026-01-27,QA Tech,"{
    ""prjName"": ""Env-QA-DAY-PAM-BO-RERUN"",
    ""branchDetails"": ""master"",
    ""cucumberTags"": ""@sandbox and @onlineMiniapp and not @not-qa"",
    ""environment"": ""QA"",
    ""parallelExecutors"": ""4"",
    ""parallelContainers"": ""1"",
    ""slack_recipient"": """",
    ""channel"": ""CKZLL1PKL"",
    ""enable_webdriver"": ""true"",
    ""rerun"":""true""
 }"
